date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:18:46	2378/2378	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/class/Steal-A-Brainrot	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/class/Steal-A-Brainrot.html	(from )
00:18:46	46/46	---M--	200	added ('OK')	text/plain	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/robots.txt		(from )
00:18:47	192499/192499	---M--	200	added ('OK')	text/javascript	etag:15010692204538370508	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-8362959866002557	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/pagead2.googlesyndication.com/pagead/js/f7281.txt	(from https://learn-duck.firebaseapp.com/class/Steal-A-Brainrot)
00:18:47	701222/701222	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/index-BM5tYqfg.js	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/index-BM5tYqfg.js	(from https://learn-duck.firebaseapp.com/class/Steal-A-Brainrot)
00:18:48	586063/586063	---M-Z	200	added ('OK')	text/css	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css	(from https://learn-duck.firebaseapp.com/class/Steal-A-Brainrot)
00:18:48	28123/28123	---M-Z	200	added ('OK')	image/png	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/flags-DOLqOU7Y.png	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/flags-DOLqOU7Y.png	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:48	106004/106004	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/icons-CHzK1VD9.eot	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/icons-CHzK1VD9.eot	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:48	106004/106004	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/icons-CHzK1VD9.eot?	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/icons-CHzK1VD9d41d.eot	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:48	40148/40148	---M-Z	200	added ('OK')	font/woff2	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/icons-Du6TOHnR.woff2	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/icons-Du6TOHnR.woff2	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:49	50524/50524	---M--	200	added ('OK')	font/woff	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/icons-BOCtAERH.woff	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/icons-BOCtAERH.woff	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:49	105784/105784	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/icons-D29ZQHHw.ttf	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/icons-D29ZQHHw.ttf	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
